Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55650158,Take My Hand,Dolen Perkins-Valdez,"Perkins-Valdez, Dolen",,"=""0593337697""","=""9780593337691""",0,4.36,Berkley,Hardcover,359,2022,2022,,2023/10/02,to-read,to-read (#932),to-read,,,,0,0
50892261,Once I Was You: A Memoir of Love and Hate in a Torn America,María Hinojosa,"Hinojosa, María",,"=""1982128658""","=""9781982128654""",5,4.18,Atria Books,Hardcover,352,2020,2020,2023/09/23,2023/08/07,,,read,,,,1,0
43886162,"Hexing the Patriarchy: 26 Potions, Spells, and Magical Elixirs to Embolden the Resistance",Ariel Gore,"Gore, Ariel",,"=""1580058744""","=""9781580058742""",0,4.18,Seal Press,Hardcover,288,2019,,,2023/09/23,to-read,to-read (#931),to-read,,,,0,0
38746485,Becoming,Michelle Obama,"Obama, Michelle",,"=""""","=""""",5,4.45,Crown,Hardcover,426,2018,2018,2023/09/16,2023/05/29,to-read,to-read (#878),to-read,,,,1,0
9820,Crossing to Safety,Wallace Stegner,"Stegner, Wallace","Terry Tempest Williams, T.H. Watkins","=""037575931X""","=""9780375759314""",0,4.16,Modern Library,Paperback,335,2002,1987,,2023/09/11,to-read,to-read (#930),to-read,,,,0,0
292408,Angle of Repose,Wallace Stegner,"Stegner, Wallace",,"=""014016930X""","=""9780140169300""",0,4.24,Penguin,Paperback,569,1992,1971,,2023/09/11,to-read,to-read (#929),to-read,,,,0,0
4631,A Moveable Feast,Ernest Hemingway,"Hemingway, Ernest",James Naughton,"=""""","=""""",0,4.02,Vintage,Paperback,192,2012,1964,,2023/09/09,"to-read, memoir","to-read (#928), memoir (#39)",to-read,,,,0,0
12262741,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,"Strayed, Cheryl",,"=""0307592731""","=""9780307592736""",0,4.06,Knopf,Hardcover,336,2012,2012,,2023/09/09,"to-read, travel","to-read (#927), travel (#3)",to-read,,,,0,0
9522,"Persepolis, Volume 1",Marjane Satrapi,"Satrapi, Marjane",,"=""2844140580""","=""9782844140586""",0,4.30,L'Association,Paperback,76,2000,2000,,2023/09/09,"to-read, comics","to-read (#926), comics (#6)",to-read,,,,0,0
33313,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,"Bourdain, Anthony",,"=""0060899220""","=""9780060899226""",0,4.17,Ecco/Harper Perennial,Paperback,312,2007,2000,,2023/09/09,"to-read, memoir","to-read (#925), memoir (#38)",to-read,,,,0,0
13214,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,"Angelou, Maya",,"=""0553279378""","=""9780553279375""",0,4.30,Bantam Books,Paperback,289,1993,1969,,2023/09/09,"to-read, memoir","to-read (#924), memoir (#37)",to-read,,,,0,0
42270835,The Nickel Boys,Colson Whitehead,"Whitehead, Colson",,"=""""","=""""",0,4.26,Doubleday,Kindle Edition,213,2019,2019,,2023/09/09,to-read,to-read (#923),to-read,,,,0,0
52838315,Greenlights,Matthew McConaughey,"McConaughey, Matthew",,"=""0593139135""","=""9780593139134""",5,4.21,Crown,Hardcover,289,2020,2020,2023/09/04,2022/06/17,,,read,,,,1,0
944267,"Boundaries: When to Say Yes, How to Say No to Take Control of Your Life",Henry Cloud,"Cloud, Henry",John  Townsend,"=""""","=""""",0,4.20,Zondervan,Hardcover,314,1992,1992,2023/09/04,2022/03/14,psychology,psychology (#16),read,,,,1,0
36687229,Hood Feminism: Notes from the Women That a Movement Forgot,Mikki Kendall,"Kendall, Mikki",,"=""""","=""""",5,4.37,Viking,Hardcover,267,2020,2020,2023/09/04,2022/06/17,feminism,feminism (#15),read,,,,1,0
62084306,The Last Masterpiece,Laura Morelli,"Morelli, Laura",,"=""006320598X""","=""9780063205987""",0,3.95,William Morrow Paperbacks,Paperback,384,2023,2023,,2023/08/30,to-read,to-read (#922),to-read,,,,0,0
1026412,The Empire of the Steppes: A History of Central Asia,René Grousset,"Grousset, René",Naomi Walford,"=""0813513049""","=""9780813513041""",0,4.10,Rutgers University Press,Paperback,718,1970,1939,,2023/08/30,to-read,to-read (#921),to-read,,,,0,0
62054146,The Keeper of Hidden Books,Madeline  Martin,"Martin, Madeline",,"=""1335455027""","=""9781335455024""",0,4.12,Hanover Square Press,Paperback,416,2023,2023,,2023/08/30,to-read,to-read (#920),to-read,,,,0,0
31948742,Born a Crime: Stories from a South African Childhood,Trevor Noah,"Noah, Trevor",,"=""""","=""""",5,4.49,One World,Kindle Edition,264,2016,2016,2023/08/29,2022/05/19,memoir,memoir (#18),read,,,,1,0
148009,"The Elements of Statistical Learning: Data Mining, Inference, and Prediction",Trevor Hastie,"Hastie, Trevor","Robert Tibshirani, Jerome Friedman","=""0387952845""","=""9780387952840""",0,4.43,Springer,Hardcover,552,2003,2001,,2021/08/07,"to-read, computer-science","to-read (#304), computer-science (#15)",to-read,,,,0,0
35390955,Upstairs at the White House: My Life with the First Ladies,J.B. West,"West, J.B.",Mary Lynn Kotz,"=""""","=""""",0,4.14,Open Road Media,Kindle Edition,541,2013,1973,,2023/08/20,to-read,to-read (#919),to-read,,,,0,0
111450,Quidditch Through the Ages,Kennilworthy Whisp,"Whisp, Kennilworthy",J.K. Rowling,"=""0439321611""","=""9780439321617""",3,3.80,Scholastic,Hardcover,105,2001,2001,2023/08/18,2023/08/18,,,read,"[b:Quidditch Through the Ages|111450|Quidditch Through the Ages (Hogwarts Library)|Kennilworthy Whisp|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369689506l/111450._SX50_.jpg|6247751] by J.K. Rowling is a brief introduction to the history of quidditch, a wizarding sport played on flying broomsticks introduced in the Harry Potter universe. During the book, we are first presented with the early origins of the game, the history of the sport, the origins of the snitch and the current aspects of the existing Quidditch teams. At the end of the audibook version, we are presented with bonus content from the 2014 World Cup.<br/><br/>I particularly enjoyed learning about the early origin of the game found in games such as Stichstock, played with a dragon bladder, Aingingein, played with burning barrels, and Creaothceann played with rocks and cauldrons. This is where the creativity of J.K. Rowling captured my imagination, by supplying potential explanations for why the Keeper and Beater positions exist.<br/><br/>",,,1,0
35215524,The Monk of Mokha,Dave Eggers,"Eggers, Dave",,"=""""","=""""",4,4.08,Knopf,Kindle Edition,353,2018,2018,2023/08/18,2023/07/14,food,food (#13),read,"The Monk of Mokha by Dave Eggers follows the true story of Mokhtar Alkhanshali, a Yemeni American who is determined to start a unique coffee export business from Yemen during the midst of a civil war. While travelling to Yemen, he gathers coffee samples and explores the history of the region all the while surviving confrontations with both Houthis and Saudis.<br/><br/>Mokhtar himself is an inspiring example of someone who despite a lack of college degree, found his passion and dedicated himself wholeheartedley to it, finding success by way of his strong determination. When having failed the Q grader certification the first time, but having passed many sections, he exclaimed that he hadn't scored as high on an exam since middle school, showing resiliency.<br/><br/>This novel is a careful account of one man's journey to culinary excellence in the area of coffee. The plot reads like an action novel, and includes fascinating details about San Francisco and Yemeni culture. However, I at times would have liked to know more about the history of the civil war in Yemen, having it be such a central part of the second half of the book.",,,1,0
9628,Long After Midnight,Ray Bradbury,"Bradbury, Ray",,"=""0671037692""","=""9780671037697""",0,4.00,Earthlight,Paperback,288,2000,1976,,2023/08/13,to-read,to-read (#918),to-read,,,,0,0
53534374,A Passage to India,E.M. Forster,"Forster, E.M.",,"=""1504061721""","=""9781504061728""",4,3.68,Open Road Media,Kindle Edition,365,2020,1924,2023/08/03,2023/04/02,classics,classics (#46),read,,,,1,0
40038485,Harry Potter: A History of Magic: The eBook of the Exhibition,British Library,"Library, British",,"=""1781102597""","=""""",5,4.20,Pottermore Publishing,Kindle Edition,272,2018,2017,2023/07/20,2022/06/02,ya-novels,ya-novels (#19),read,,,,1,0
2914066,Programming: Principles and Practice Using C++,Bjarne Stroustrup,"Stroustrup, Bjarne",,"=""0321543726""","=""9780321543721""",0,4.22,Addison-Wesley Professional,Paperback,1236,2008,,,2023/07/28,to-read,to-read (#917),to-read,,,,0,0
59248,"The Mystical Lore of Precious Stones, Volume 1: Superstitions, Talismans and Amulets, Crystal Gazing (Superstitions, Talismans, Amulets, Crystal Gazing)",George Frederick Kunz,"Kunz, George Frederick",,"=""0878770941""","=""9780878770946""",0,5.00,Newcastle Pub Co Inc,Paperback,208,1986,1913,,2023/07/28,to-read,to-read (#916),to-read,,,,0,0
